paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,5,1.256,,,,PoD,,,,AM,,1.35,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,5,1.256,,,,PoD,,,,AM,,1.25,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,10,1.256,,,,PoD,,,,AM,,2.4,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,10,1.256,,,,PoD,,,,AM,,2.1,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,15,1.256,,,,PoD,,,,AM,,2.85,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,15,1.256,,,,PoD,,,,AM,,2.55,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,20,1.256,,,,PoD,,,,AM,,3.64,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,20,1.256,,,,PoD,,,,AM,,2.8,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,5,1.256,,,,PoD,,,,AM,,1.1,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,5,1.256,,,,PoD,,,,AM,,1,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,10,1.256,,,,PoD,,,,AM,,1.9,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,10,1.256,,,,PoD,,,,AM,,1.6,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,15,1.256,,,,PoD,,,,AM,,2.325,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,15,1.256,,,,PoD,,,,AM,,1.8,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,20,1.256,,,,PoD,,,,AM,,2.84,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,,TiO2,20,20,1.256,,,,PoD,,,,AM,,2.0,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,5,1.256,,,,PoD,,,,AM,,0.95,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,5,1.256,,,,PoD,,,,AM,,0.8,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,10,1.256,,,,PoD,,,,AM,,1.6,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,10,1.256,,,,PoD,,,,AM,,1.2,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,15,1.256,,,,PoD,,,,AM,,1.8,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,15,1.256,,,,PoD,,,,AM,,1.35,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,20,1.256,,,,PoD,,,,AM,,2.0,,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,,TiO2,30,20,1.256,,,,PoD,,,,AM,,1.6,,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL,fail,COF is required,
